position_id,position_salary,position_name,position_url,position_city,position_area,position_publishtime,work_year,education,position_desc,position_tags,hr_id,company_name,company_id,company_url,company_desc
4471288,15k-25k,Python开发,https://www.lagou.com/jobs/4471288.html,深圳,科技园,2天前发布,经验3-5年,不限,“平台好，薪资高，有晋升通道，福利好。”,/五险一金//带薪年假//通讯津贴//交通补助/,5935872,5173.com中国网络游戏服务网,21451,https://www.lagou.com/gongsi/21451.html,移动互联网，电子商务 / 上市公司 / 2000人以上
5379051,8k-15k,python开发工程师,https://www.lagou.com/jobs/5379051.html,上海,徐家汇,1天前发布,经验1-3年,本科,“晋升和转内部旅游体检五险一金过节费年终奖”,/后端/,8308768,海万科技,128998,https://www.lagou.com/gongsi/128998.html,移动互联网，金融 / 不需要融资 / 500-2000人
5152794,20k-40k,高级Python开发工程师,https://www.lagou.com/jobs/5152794.html,北京,大兴区,1天前发布,经验5-10年,本科,“班车，餐补”,/后端/,2081,京东数字科技,534,https://www.lagou.com/gongsi/534.html,金融 / 上市公司 / 2000人以上
4471288,15k-25k,Python开发,https://www.lagou.com/jobs/4471288.html,深圳,科技园,2天前发布,经验3-5年,不限,“平台好，薪资高，有晋升通道，福利好。”,/五险一金//带薪年假//通讯津贴//交通补助/,5935872,5173.com中国网络游戏服务网,21451,https://www.lagou.com/gongsi/21451.html,移动互联网，电子商务 / 上市公司 / 2000人以上
5067189,15k-30k,python开发工程师,https://www.lagou.com/jobs/5067189.html,杭州,仓前,2天前发布,经验3-5年,本科,“弹性工作，业界大牛，成长空间，扁平管理”,/后端//服务器端/,10893363,杭州默安科技有限公司,163561,https://www.lagou.com/gongsi/163561.html,信息安全 / A轮 / 150-500人
5482101,11k-15k,python开发工程师,https://www.lagou.com/jobs/5482101.html,深圳,沙嘴,1天前发布,经验3-5年,大专,“五险一金 周末双休”,,10464912,YIDATEC,168557,https://www.lagou.com/gongsi/168557.html,移动互联网，游戏 / 不需要融资 / 2000人以上
4904619,25k-45k,高级Python开发工程师,https://www.lagou.com/jobs/4904619.html,北京,望京,2天前发布,经验3-5年,本科,“弹性工时，出国游，扁平化团队，带薪年假”,/后端/,3878,更美APP,766,https://www.lagou.com/gongsi/766.html,移动互联网，O2O / D轮及以上 / 150-500人
3122018,7k-14k,Python开发工程师,https://www.lagou.com/jobs/3122018.html,大连,中山路,2019-03-16,经验3-5年,不限,“区块链，人工智能”,/区块链//人工智能//技术驱动型/,7173613,允执科技,204300,https://www.lagou.com/gongsi/204300.html,移动互联网，信息安全 / 未融资 / 15-50人
5605307,20k-30k,python开发工程师,https://www.lagou.com/jobs/5605307.html,北京,朝阳区,2019-03-07,经验5-10年,本科,“六险一金、免费三餐、团队氛围好、班车等”,/大数据//Linux/Unix/,11851734,汉能集团,322557,https://www.lagou.com/gongsi/322557.html,移动互联网，电子商务 / 上市公司 / 2000人以上
4398669,8k-14k,Python,https://www.lagou.com/jobs/4398669.html,长沙,圭塘,2019-03-18,经验3-5年,不限,“五险一金，有分红”,/Node.js/,3358656,蘑菇侠,282080,https://www.lagou.com/gongsi/282080.html,游戏，移动互联网 / 天使轮 / 15-50人
4620122,5k-10k,python工程师,https://www.lagou.com/jobs/4620122.html,青岛,黄岛区,2019-02-25,经验3-5年,大专,“五险一金，周末双休，带薪休假，节假日福利”,,10755173,迅联网络,212484,https://www.lagou.com/gongsi/212484.html,移动互联网 / 天使轮 / 少于15人
4266883,15k-17k,Python 开发工程师,https://www.lagou.com/jobs/4266883.html,北京,西城区,3天前发布,经验3-5年,本科,“金融央企，五险一金”,/云计算//大数据//软件开发//Java/,5715150,金证股份,25317,https://www.lagou.com/gongsi/25317.html,金融 / 上市公司 / 2000人以上
5440377,25k-50k,python开发工程师,https://www.lagou.com/jobs/5440377.html,北京,西北旺,3天前发布,经验5-10年,本科,“国企，福利待遇优”,/后端//Linux/Unix/,3730760,天地众和,112598,https://www.lagou.com/gongsi/112598.html,金融，企业服务 / 未融资 / 50-150人
5372450,10k-13k,python开发工程师（nlp方向）,https://www.lagou.com/jobs/5372450.html,北京,西北旺,11:27发布,经验1-3年,本科,“六险一金，大厂经验，弹性上班，带薪年假”,/机器学习/,7605102,微创,189022,https://www.lagou.com/gongsi/189022.html,移动互联网，电子商务 / 不需要融资 / 2000人以上
4972159,20k-40k,Python开发,https://www.lagou.com/jobs/4972159.html,北京,五道口,10:53发布,经验1-3年,本科,“三餐，健身房，mac”,/服务器端//Linux/Unix/,9606379,知乎,4128,https://www.lagou.com/gongsi/4128.html,移动互联网，社交网络 / D轮及以上 / 500-2000人
5520384,15k-30k,Python开发工程师,https://www.lagou.com/jobs/5520384.html,北京,学院路,11:45发布,经验1-3年,本科,“六险一金 硅谷式办公 时令水果 健身器材”,/带薪年假//定期体检//文化open//扁平化管理/,3482537,iHandy,321870,https://www.lagou.com/gongsi/321870.html,移动互联网 / 不需要融资 / 150-500人
5141437,20k-40k,高级Python开发工程师,https://www.lagou.com/jobs/5141437.html,杭州,拱墅区,1天前发布,经验5-10年,本科,“班车，餐补”,/移动互联网/,2081,京东数字科技,534,https://www.lagou.com/gongsi/534.html,金融 / 上市公司 / 2000人以上
5416675,10k-15k,python开发工程师,https://www.lagou.com/jobs/5416675.html,北京,中关村,11:27发布,经验1-3年,本科,“六险一金，弹性上班，氛围好”,/后端//Linux/Unix/,7605102,微创,189022,https://www.lagou.com/gongsi/189022.html,移动互联网，电子商务 / 不需要融资 / 2000人以上
3411754,10k-20k,python开发工程师,https://www.lagou.com/jobs/3411754.html,深圳,福田区,11:42发布,经验3-5年,大专,“双休，过节费，年度体检，旅游”,/Java//Node.js/,4383654,海万科技,128998,https://www.lagou.com/gongsi/128998.html,移动互联网，金融 / 不需要融资 / 500-2000人
5374250,15k-30k,python开发,https://www.lagou.com/jobs/5374250.html,北京,海淀区,10:10发布,经验1-3年,本科,“硅谷式办公，弹性工作，时令水果”,/移动互联网//工具软件//Golang//服务器端//后端/,5481807,iHandy,321870,https://www.lagou.com/gongsi/321870.html,移动互联网 / 不需要融资 / 150-500人
1883603,10k-20k,Python开发工程师,https://www.lagou.com/jobs/1883603.html,上海,张江,09:42发布,经验1-3年,大专,“公司发展前景好，晋升空间大。”,/股票期权//带薪年假//定期体检//年度旅游/,265892,驻云,22809,https://www.lagou.com/gongsi/22809.html,移动互联网，企业服务 / C轮 / 150-500人
5646110,13k-25k,Python开发工程师,https://www.lagou.com/jobs/5646110.html,深圳,大冲,09:35发布,经验不限,本科,“六险一金;弹性办公;福利满满;风口行业”,/金融//爬虫/,9757113,联易融linklogis,145153,https://www.lagou.com/gongsi/145153.html,移动互联网，金融 / C轮 / 150-500人
5268012,3k-4k,Python工程师 - 实习,https://www.lagou.com/jobs/5268012.html,天津,国际大厦,08:07发布,经验不限,本科,“技术导向，扁平管理，留用机会，发展空间”,/爬虫//爬虫工程师//抓取//数据挖掘/,4556053,联合咨询,120429,https://www.lagou.com/gongsi/120429.html,金融，数据服务 / 不需要融资 / 50-150人
4500619,20k-40k,python开发工程师,https://www.lagou.com/jobs/4500619.html,北京,海淀区,03:43发布,经验1-3年,本科,“六险一金，高薪期权，弹性工作，免费三餐”,/信息安全//即时通讯/,9798036,字节跳动,62,https://www.lagou.com/gongsi/62.html,移动互联网，数据服务 / C轮 / 2000人以上
4886466,17k-27k,Python开发工程师,https://www.lagou.com/jobs/4886466.html,上海,静安寺,3天前发布,经验3-5年,本科,“非996公司，美式管理，平台稳定，大牛多”,/电商//新零售//后端//MySQL//分布式/,6800560,JAITech,321060,https://www.lagou.com/gongsi/321060.html,移动互联网，电子商务 / B轮 / 50-150人
3182344,4k-8k,Python开发工程师,https://www.lagou.com/jobs/3182344.html,南宁,西乡塘区,2019-03-18,经验1-3年,本科,“创业，极客，技术驱动”,/Android//IOS//PHP/,2006766,优趣工作室,79239,https://www.lagou.com/gongsi/79239.html,移动互联网 / 未融资 / 15-50人
5531182,10k-20k,高级python后端开发-00192,https://www.lagou.com/jobs/5531182.html,天津,滨海新区,2019-03-06,经验3-5年,本科,“云计算 运维”,/平台//分布式//Linux/Unix/,11033145,紫光云,429600,https://www.lagou.com/gongsi/429600.html,移动互联网，数据服务 / 不需要融资 / 500-2000人
5474927,13k-17k,python开发工程师,https://www.lagou.com/jobs/5474927.html,上海,东方路,1天前发布,经验1-3年,本科,“带薪年假、超赞福利、不打卡、五险一金”,/工具软件//云计算//Javascript//C++/,9925789,AUTODESK,57240,https://www.lagou.com/gongsi/57240.html,移动互联网 / 上市公司 / 500-2000人
5493035,15k-25k,python开发工程师,https://www.lagou.com/jobs/5493035.html,北京,将台路,2019-03-18,经验3-5年,本科,“福利好，临近地铁，领导nice”,/地图//大数据//爬虫工程师//数据挖掘/,5493058,墨迹天气,121,https://www.lagou.com/gongsi/121.html,移动互联网，生活服务 / 不需要融资 / 150-500人
5188790,15k-30k,Python开发,https://www.lagou.com/jobs/5188790.html,上海,洋泾,2019-03-18,经验3-5年,本科,“平台大，福利好，发展快”,,11232861,平安金服,161720,https://www.lagou.com/gongsi/161720.html,金融，数据服务 / 上市公司 / 2000人以上
4991212,9k-18k,Python,https://www.lagou.com/jobs/4991212.html,成都,锦江区,1天前发布,经验3-5年,大专,“五险一金，项目奖金，妹子多，带薪年假”,/大数据//云计算/,10901970,通力互联,123777,https://www.lagou.com/gongsi/123777.html,电子商务，企业服务 / 不需要融资 / 2000人以上
